TABLE, Format,State,Instruction,Plane,Op Code,Operation,XBUS,YBUS,ALU X,ALU Y,ZBUS SEL,SR,ARITH,ARITH SR,CARRYIN EN,LOGIC,LOGIC SR,SHIFT,MANIP,ZBUS,WBUS,PC,IF ADDY,Latch S_MAC,PR,IF ISSUE,DISPATCH,DEBUG,MAC STAGE,MAC BUSY,MAC OP,MAC STALL SENSE,MACIN_1,MACIN_2,MACH,MACL,EVENT,HALT,DELAY JMP,ILEVEL CAPTURE,MA OP,MA MASK,MA SIZE,MA DATA,MA ADDY,MA LOCK,MASK INT,COPROC CMD,DATA MUX
A.32,mn,1,"ADDC Rm, Rn ",,0011 nnnn mmmm 1110,"Rn + Rm + T ? Rn, carry ?T",Rn,Rm,,,ARITH,CARRY,ADD,,1,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"ADDV Rm, Rn ",,0011 nnnn mmmm 1111,"Rn + Rm ? Rn, overflow ?T",Rn,Rm,,,ARITH,ARITH,ADD,OVERUNDERFLOW,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"AND Rm, Rn ",,0010 nnnn mmmm 1001,Rn&Rm?Rn,Rn,Rm,,,LOGIC,,,,,AND,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"CMP /EQ Rm, Rn",,0011 nnnn mmmm 0000,"When Rn=Rm,1?T",Rn,Rm,,,,LOGIC,,,,XOR,ZERO,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"CMP /HS Rm, Rn",,0011 nnnn mmmm 0010,"When unsigned and Rn ? Rm,1?T",Rn,Rm,,,,ARITH,SUB,>=,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"CMP /GE Rm, Rn",,0011 nnnn mmmm 0011,"When signed and Rn ? Rm,1?T",Rn,Rm,,,,ARITH,SUB,s>=,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"CMP /HI Rm, Rn",,0011 nnnn mmmm 0110,"When unsigned and Rn > Rm,1?T",Rn,Rm,,,,ARITH,SUB,>,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"CMP /GT Rm, Rn",,0011 nnnn mmmm 0111,"When signed and Rn > Rm,1?T",Rn,Rm,,,,ARITH,SUB,s>,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"CMP /STR Rm, Rn",,0010 nnnn mmmm 1100,"When a byte in Rn equals a byte in Rm, 1? T",Rn,Rm,,,,LOGIC,,,,XOR,byte=,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"CAS.L Rm, Rn, @R0",,0010 nnnn mmmm 0011,Rn?TEMP0,,Rn,,,Y,,,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"CAS.L Rm, Rn, @R0",,0010 nnnn mmmm 0011,(R0)? Rn,R0,,,,,,,,,,,,,,Rn,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,XBUS,Y,,,
,,,"CAS.L Rm, Rn, @R0",,0010 nnnn mmmm 0011,"When Rn=Rm,1?T",Rn,Rm,,,,LOGIC,,,,XOR,ZERO,,,,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
,,,"CAS.L Rm, Rn, @R0",,0010 nnnn mmmm 0011,TEMP0 ? (R0),R0,TEMP0,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,T,32,YBUS,XBUS,Y,,,
A.32,mn,1,"DIV1 Rm, Rn",,0011 nnnn mmmm 0100,1-step division (Rn ÷ Rm),Rn,Rm,ROTCL,,ARITH,ARITH,ADD,DIV1,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"DIV0S Rm, Rn",,0010 nnnn mmmm 0111,"MSB of Rn? Q, MSB of Rm?M,M^Q?T",Rn,Rm,,,,ARITH,ADD,DIV0S,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"DMULS.L Rm, Rn",,0011 nnnn mmmm 1101,"Signed, Rn x Rm, MACH, MACL",Rn,Rm,,,,,,,,,,,,,,INC,,,,,,,EX,NOT STALL,DMULSL,Y,XBUS,YBUS,,,,,,,,,,,,,,,
A.32,mn,1,"DMULU.L Rm, Rn",,0011 nnnn mmmm 0101,"Unsigned, Rn x Rm, MACH, MACL",Rn,Rm,,,,,,,,,,,,,,INC,,,,,,,EX,NOT STALL,DMULUL,Y,XBUS,YBUS,,,,,,,,,,,,,,,
A.32,mn,1,"EXTS.B Rm, Rn",,0110 nnnn mmmm 1110,Sign-extends Rm from byte ? Rn,,Rm,,,MANIP,,,,,,,,ext SB,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"EXTS.W Rm, Rn",,0110 nnnn mmmm 1111,Sign-extends Rm from word ? Rn,,Rm,,,MANIP,,,,,,,,ext SW,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"EXTU.B Rm, Rn",,0110 nnnn mmmm 1100,Zero-extends Rm from byte ? Rn,,Rm,,,MANIP,,,,,,,,ext UB,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"EXTU.W Rm, Rn",,0110 nnnn mmmm 1101,Zero-extends Rm from word ? Rn,,Rm,,,MANIP,,,,,,,,ext UW,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"MOV Rm, Rn",,0110 nnnn mmmm 0011,Rm?Rn,,Rm,,,Y,,,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"MUL.L Rm, Rn",,0000 nnnn mmmm 0111,Rn×Rm?MACL,Rn,Rm,,,,,,,,,,,,,,INC,,,,,,,EX,NOT STALL,MULL,Y,XBUS,YBUS,,,,,,,,,,,,,,,
